imageId,route,pageSection,group,category,subject,classification,requirement,orientation,aspectRatio,recommendedDimensions,mobileCrop,priority,status,internalShotBrief,aiPrompt,aiNegativePrompt,publicAltText,rightsRequirement,approvalOwner,replacementDependency,sourceType,sourceName,photographer,rightsStatus,approvalStatus,aiGenerated,aiModel,generationDate,assetAccuracyRequired,focalPoint,publicationStatus
HP-001,/,Hero cinematic plate,Homepage,brand,"Coastline at dawn, slow aerial",AI_EDITORIAL,AI permitted,landscape,16:9,2560x1440,center-weighted 4:5 crop,P1,TONAL_PLACEHOLDER_LIVE,Cinematic plate · coastline at dawn · slow aerial,"Australian coastline from high aerial at first light, calm sea, long soft shadows, restrained warm grade, gentle haze, no people","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry","Aerial view of an Australian coastline at dawn, calm water and low light",AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
HP-002,/,Approach · route chart detail,Homepage,brand,Route chart & pre-departure hands,AI_EDITORIAL,AI permitted,portrait,4:5,1600x2000,native,P2,TONAL_PLACEHOLDER_LIVE,Route chart detail · pre-departure preparation,"Close detail of hands over an aeronautical chart on a timber table, morning window light, shallow depth, tactile paper texture","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry",Hands reviewing a route chart during pre-departure preparation,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
HP-003,/,Connected journey plate,Homepage,journeys,Yacht through Whitsunday Passage,REAL_DESTINATION,Real preferred,landscape,16:9,2560x1440,center,P1,TONAL_PLACEHOLDER_LIVE,Aft-following plate · yacht through Whitsunday Passage · golden hour,,,A yacht moving through the Whitsunday Passage in golden-hour light,Licensed destination photography or house shoot,Mason (Ops),Ideally ALANI underway — then becomes REAL_ASSET,,,,NOT_CLEARED,UNAPPROVED,False,,,False,center,NOT_PUBLISHED
HP-011,/,Journey step 01 · Departure,Homepage,journeys,"Private fixed-wing departure, Brisbane",AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,center,P3,TONAL_PLACEHOLDER_LIVE,"Step frame · Private fixed-wing departure, Brisbane","Private fixed-wing departure, Brisbane, observational photographic style, early light, unforced human presence at most, restrained colour","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry","Private fixed-wing departure, Brisbane, natural light",AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
HP-012,/,Journey step 02 · Arrival,Homepage,journeys,"Airside arrival, Hamilton Island",AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,center,P3,TONAL_PLACEHOLDER_LIVE,"Step frame · Airside arrival, Hamilton Island","Airside arrival, Hamilton Island, observational photographic style, early light, unforced human presence at most, restrained colour","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry","Airside arrival, Hamilton Island, natural light",AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
HP-013,/,Journey step 03 · Residence,Homepage,journeys,Residence above the water,AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,center,P3,TONAL_PLACEHOLDER_LIVE,Step frame · Residence above the water,"Residence above the water, observational photographic style, early light, unforced human presence at most, restrained colour","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry","Residence above the water, natural light",AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
HP-014,/,Journey step 04 · Yacht,Homepage,journeys,Crewed charter underway,AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,center,P3,TONAL_PLACEHOLDER_LIVE,Step frame · Crewed charter underway,"Crewed charter underway, observational photographic style, early light, unforced human presence at most, restrained colour","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry","Crewed charter underway, natural light",AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
HP-015,/,Journey step 05 · Destination,Homepage,journeys,Reef and open water,AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,center,P3,TONAL_PLACEHOLDER_LIVE,Step frame · Reef and open water,"Reef and open water, observational photographic style, early light, unforced human presence at most, restrained colour","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry","Reef and open water, natural light",AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
HP-D-WHI,/,Destination card · Whitsundays aerial reef edge,Homepage,destinations,Whitsundays aerial reef edge,REAL_DESTINATION,Real preferred,portrait,4:5,1600x2000,native,P2,TONAL_PLACEHOLDER_LIVE,Whitsundays aerial reef edge · 4:5,,,Whitsundays aerial reef edge,Licensed destination photography,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,False,,,False,center,NOT_PUBLISHED
HP-D-NOO,/,Destination card · Noosa river mouth first light,Homepage,destinations,Noosa river mouth first light,REAL_DESTINATION,Real preferred,portrait,4:5,1600x2000,native,P2,TONAL_PLACEHOLDER_LIVE,Noosa river mouth first light · 4:5,,,Noosa river mouth first light,Licensed destination photography,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,False,,,False,center,NOT_PUBLISHED
HP-D-SYD,/,Destination card · Sydney harbour from the water,Homepage,destinations,Sydney harbour from the water,REAL_DESTINATION,Real preferred,portrait,4:5,1600x2000,native,P2,TONAL_PLACEHOLDER_LIVE,Sydney harbour from the water · 4:5,,,Sydney harbour from the water,Licensed destination photography,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,False,,,False,center,NOT_PUBLISHED
HP-D-TAS,/,Destination card · Tasmania highland residence in weather,Homepage,destinations,Tasmania highland residence in weather,AI_EDITORIAL,Real preferred,portrait,4:5,1600x2000,native,P2,TONAL_PLACEHOLDER_LIVE,Tasmania highland residence in weather · 4:5,,,Tasmania highland residence in weather,Licensed destination photography,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
HP-020,/,Sea band plate,Homepage,sea,Open water aft-following drone,AI_EDITORIAL,AI permitted,landscape,16:9,2560x1440,center,P2,TONAL_PLACEHOLDER_LIVE,Aft-following drone plate · open water,"Following aerial over open blue-green water with wake line, late light, painterly texture, no vessel branding","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry",Open water from a following aerial position,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
HP-021,/,Stay band plate,Homepage,stay,Residence integrated into landscape,AI_EDITORIAL,AI permitted,landscape,16:9,2560x1440,center,P2,TONAL_PLACEHOLDER_LIVE,Residence integrated into landscape · late light,"Architectural residence within coastal bushland at dusk, warm interior glow, natural materials, believable structure","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry",A residence set quietly within landscape at dusk,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
HP-022,/,Air band plate,Homepage,air,Aircraft through atmosphere,AI_EDITORIAL,AI permitted,landscape,16:9,2560x1440,center,P2,TONAL_PLACEHOLDER_LIVE,Aircraft through atmosphere · remote approach,"Small turboprop silhouette on remote approach over outback country, dawn haze, generic unmarked airframe, readable form","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry",An aircraft on approach over remote country,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
HP-030,/,Journal feature,Homepage,journal,Whitsundays quieter passage,AI_EDITORIAL,AI permitted,landscape,16:9,2400x1350,center,P3,TONAL_PLACEHOLDER_LIVE,Feature story frame,"Quiet island anchorage, still morning water, muted palette, no vessels close enough to identify","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry",Quiet anchorage among Whitsunday islands,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
AIR-001,/air,Hero,AIR,air,"Aircraft in context, remote strip",AI_EDITORIAL,AI permitted,landscape,21:9,2880x1234,16:9 recrop,P1,TONAL_PLACEHOLDER_LIVE,Hero · atmosphere not asset,"Unmarked light aircraft on remote red-earth strip, first light, atmosphere-led, aircraft form readable but generic","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry",Aircraft on a remote strip at first light,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
AIR-A-citation-cj4,/air/fleet/citation-cj4,Inventory hero + gallery (3),AIR,air,Citation CJ4,REAL_ASSET,REAL REQUIRED — no AI,landscape,16:10,2400x1500,16:10 safe-center,P1,TONAL_PLACEHOLDER_LIVE,Citation CJ4 exterior on apron + cabin + detail — actual operated aircraft only,,,Citation CJ4 operated for WAYPOINT journeys,"Operator-supplied, usage rights in writing",Operator approval,Blocks fleet page completeness,,,,NOT_CLEARED,UNAPPROVED,False,,,True,center,NOT_PUBLISHED
AIR-A-challenger-605,/air/fleet/challenger-605,Inventory hero + gallery (3),AIR,air,Challenger 605,REAL_ASSET,REAL REQUIRED — no AI,landscape,16:10,2400x1500,16:10 safe-center,P1,TONAL_PLACEHOLDER_LIVE,Challenger 605 exterior on apron + cabin + detail — actual operated aircraft only,,,Challenger 605 operated for WAYPOINT journeys,"Operator-supplied, usage rights in writing",Operator approval,Blocks fleet page completeness,,,,NOT_CLEARED,UNAPPROVED,False,,,True,center,NOT_PUBLISHED
AIR-A-king-air-b200,/air/fleet/king-air-b200,Inventory hero + gallery (3),AIR,air,King Air B200,REAL_ASSET,REAL REQUIRED — no AI,landscape,16:10,2400x1500,16:10 safe-center,P1,TONAL_PLACEHOLDER_LIVE,King Air B200 exterior on apron + cabin + detail — actual operated aircraft only,,,King Air B200 operated for WAYPOINT journeys,"Operator-supplied, usage rights in writing",Operator approval,Blocks fleet page completeness,,,,NOT_CLEARED,UNAPPROVED,False,,,True,center,NOT_PUBLISHED
AIR-A-twin-helicopter,/air/fleet/twin-helicopter,Inventory hero + gallery (3),AIR,air,Twin-Engine Helicopter,REAL_ASSET,REAL REQUIRED — no AI,landscape,16:10,2400x1500,16:10 safe-center,P1,TONAL_PLACEHOLDER_LIVE,Twin-Engine Helicopter exterior on apron + cabin + detail — actual operated aircraft only,,,Twin-Engine Helicopter operated for WAYPOINT journeys,"Operator-supplied, usage rights in writing",Operator approval,Blocks fleet page completeness,,,,NOT_CLEARED,UNAPPROVED,False,,,True,center,NOT_PUBLISHED
SEA-001,/sea,Hero,SEA,sea,Passage water in motion,AI_EDITORIAL,AI permitted,landscape,21:9,2880x1234,16:9,P1,TONAL_PLACEHOLDER_LIVE,Hero · tidal motion,"Open passage water texture from low aerial, tidal lines, green-blue restraint, no vessels","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry",Sea surface in motion through an island passage,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
SEA-A-alani,/sea/fleet/alani,Inventory hero + gallery (3),SEA,sea,M/Y ALANI,REAL_ASSET,REAL REQUIRED — no AI,landscape,16:10,2400x1500,16:10 safe-center,P1,TONAL_PLACEHOLDER_LIVE,M/Y ALANI at anchor/underway + deck + interior — actual vessel only,,,M/Y ALANI,"Owner/operator-supplied, usage rights in writing",Owner/manager approval,Blocks fleet page completeness,,,,NOT_CLEARED,UNAPPROVED,False,,,True,center,NOT_PUBLISHED
